Class,Sensitivity,Specificity,G-Mean
NORM,0.6350806451612904,0.9542719614921781,0.7784854866751098
MI,0.3282442748091603,0.990506329113924,0.5701999927164884
STTC,0.78,0.8631840796019901,0.8205385926874813
CD,0.8483904465212876,0.8619246861924686,0.8551307908072011
HYP,0.7236084452975048,0.9254734270006109,0.818340019598251
